Category,Article Title,URL,Real_Git_Date,Frontmatter_Date,Impressions_28d,Clicks_28d,Avg_Position,Bucket,Action,Impressions_90d_GSC,Clicks_90d_GSC,GSC_Note_2026-08-17
Kitchen,Budget Kitchen Flooring Ideas UK: Options That Last,https://britishhomeinterior.co.uk/blog/budget-kitchen-flooring-ideas-uk,2026-07-27,,28,0,23.0,D - Steady / building authority,MONITOR,28,0,
Kitchen,Budget Kitchen Splashback & Tile Ideas UK,https://britishhomeinterior.co.uk/blog/budget-kitchen-splashback-tile-ideas-uk,2026-07-27,,24,0,18.0,"C - Good position, low volume (leave alone)",MONITOR (good position),24,0,
Kitchen,Budget Kitchen Worktop Makeover Ideas UK,https://britishhomeinterior.co.uk/blog/budget-kitchen-worktop-makeover-uk,2026-07-27,,2,0,11.5,"C - Good position, low volume (leave alone)",MONITOR (good position),2,0,
Living Room,Christmas Home Decor Ideas UK,https://britishhomeinterior.co.uk/blog/christmas-home-decor-ideas-uk,2026-06-29,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Bedroom,14 Cosy Bedroom Ideas UK,https://britishhomeinterior.co.uk/blog/cosy-bedroom-ideas-uk,2026-06-29,,90,0,30.6,D - Steady / building authority,"MONITOR/IMPROVE: 90 impr/90d, ""cosy bedroom"" (26@36), ""cosy room"" (18@32), ""cosy bedroom decor"" (17@23) -- best positions on this list (22-36), closest to being winnable with a light push.",90,0,see Action
Living Room,Cosy Home Decor Ideas UK,https://britishhomeinterior.co.uk/blog/cosy-home-decor-ideas-uk,2026-06-29,,2,0,38.0,D - Steady / building authority,MONITOR,2,0,
Bedroom,Cottagecore Bedroom Decor Ideas UK,https://britishhomeinterior.co.uk/blog/cottagecore-bedroom-ideas-uk,2026-06-29,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Living Room,Cottagecore Home Decor Ideas UK,https://britishhomeinterior.co.uk/blog/cottagecore-home-decor-uk,2026-06-29,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,Dark and Moody Home Decor Ideas UK,https://britishhomeinterior.co.uk/blog/dark-moody-home-decor-uk,2026-06-29,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,Earthy Neutral Kitchen Colours: Two-Tone Under £500,https://britishhomeinterior.co.uk/blog/earthy-neutral-kitchen-colour-trends-uk,2026-07-30,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,FunHaus Decor Ideas UK,https://britishhomeinterior.co.uk/blog/funhaus-decor-ideas-uk,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Kitchen,Grandma Core Kitchen Ideas UK 2026,https://britishhomeinterior.co.uk/blog/grandma-core-kitchen-ideas-uk,2026-08-08,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,Hallway Decor Ideas UK,https://britishhomeinterior.co.uk/blog/hallway-decor-ideas-uk,2026-07-02,,32,0,43.6,D - Steady / building authority,MONITOR,32,0,
Room Makeovers,Hidden Pantry Ideas for Small UK Kitchens,https://britishhomeinterior.co.uk/blog/hidden-pantry-ideas-uk,2026-07-31,,3,0,43.3,D - Steady / building authority,MONITOR,3,0,
Room Makeovers,Home Decor Inspiration UK,https://britishhomeinterior.co.uk/blog/home-decor-inspiration-uk,2026-06-29,,1,0,33.0,D - Steady / building authority,MONITOR,1,0,
Room Makeovers,Home Interior Ideas UK,https://britishhomeinterior.co.uk/blog/home-interior-ideas-uk,2026-06-29,,1,0,4.0,"C - Good position, low volume (leave alone)",MONITOR (good position),1,0,
Living Room,How to Style a Living Room UK,https://britishhomeinterior.co.uk/blog/how-to-style-a-living-room-uk,2026-06-29,,4,0,34.8,D - Steady / building authority,MONITOR,4,0,
Kitchen,12 Kitchen Decor Ideas UK,https://britishhomeinterior.co.uk/blog/kitchen-decor-ideas-uk,2026-06-30,,20,0,40.1,D - Steady / building authority,MONITOR,20,0,
Kitchen,Cheap Kitchen Makeover UK: 14 Affordable Ideas,https://britishhomeinterior.co.uk/blog/kitchen-on-a-budget-uk,2026-06-29,,1662,0,45.9,"B - High impr, bad position (rewrite priority)","REWRITE-RETARGET (top priority): 1,662 impr/90d, the single largest impression pool on the whole UK blog, positions 30-70 across ""cheap kitchen"" (124), ""affordable kitchen"" (113), ""budget kitchens"" (61), ""cheap kitchens"" (44), ""kitchens cheap"" (44). Zero clicks despite the volume -- this is the UK blog's equivalent of small-space-furniture on the CAD blog: strong demand, deep position, real content-authority ceiling. WATCH: shares ""kitchen makeover budget"" query with budget-kitchen-cabinet-makeover-uk (35 impr here vs 11 impr there) -- some real overlap, but each page also has a distinct core cluster (whole-kitchen budget vs. cabinet refacing specifically), so this is a watch item, not a merge candidate.",1662,0,see Action
Living Room,11 Living Room Colour Schemes UK,https://britishhomeinterior.co.uk/blog/living-room-colour-schemes-uk,2026-06-29,,557,0,46.0,"B - High impr, bad position (rewrite priority)","REWRITE-RETARGET: 557 impr/90d, positions 38-54 across ""living room paint ideas uk"" (69), ""lounge colour schemes"" (50), ""paint colour ideas for living room uk"" (41), ""living room colour schemes"" (40). ""Lounge"" as a synonym for ""living room"" is real UK-specific search behaviour worth folding into the title/headings if not already present.",557,0,see Action
Living Room,Living Room Lighting Ideas for UK Rentals (No Rewiring),https://britishhomeinterior.co.uk/blog/living-room-lighting-ideas-uk,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Living Room,Maximalist Living Room Decor UK,https://britishhomeinterior.co.uk/blog/maximalist-living-room-decor-uk,2026-06-29,,6,0,32.3,D - Steady / building authority,MONITOR,6,0,
Room Makeovers,Modern Home Interior Ideas UK,https://britishhomeinterior.co.uk/blog/modern-home-interior-uk,2026-06-29,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,Smart Multifunctional Furniture for UK Rented Flats,https://britishhomeinterior.co.uk/blog/multifunctional-furniture-ideas-uk,2026-08-07,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,Opera-Inspired Living Room Ideas UK,https://britishhomeinterior.co.uk/blog/opera-inspired-living-room-ideas-uk,2026-08-08,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,5 Low-Light Apartment Plant Ideas That Thrive (UK),https://britishhomeinterior.co.uk/blog/plant-styling-ideas-uk,2026-08-08,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Kitchen,Rental Kitchen Upgrade Ideas UK (No Permission Needed),https://britishhomeinterior.co.uk/blog/rental-kitchen-upgrade-ideas-uk,2026-07-27,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,Rented Flat Makeover UK,https://britishhomeinterior.co.uk/blog/rented-flat-makeover-uk,2026-06-29,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Bedroom,"Renter-Friendly Bedroom Ideas UK (No Nails, No Damage)",https://britishhomeinterior.co.uk/blog/renter-friendly-bedroom-ideas-uk,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,Renter-Friendly Gallery Wall Ideas UK,https://britishhomeinterior.co.uk/blog/renter-friendly-gallery-wall-ideas-uk,2026-08-08,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Living Room,Renter-Friendly Living Room Ideas UK (No Permission),https://britishhomeinterior.co.uk/blog/renter-friendly-living-room-ideas-uk,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Bedroom,Scandi Bedroom Ideas for UK Homes,https://britishhomeinterior.co.uk/blog/scandi-bedroom-ideas-uk,2026-08-10,,3,0,51.7,D - Steady / building authority,MONITOR,3,0,
Living Room,Scandi Living Room Ideas for UK Homes,https://britishhomeinterior.co.uk/blog/scandi-living-room-ideas-uk,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Bedroom,Small Bedroom on a Budget UK: Under £150 Refresh,https://britishhomeinterior.co.uk/blog/small-bedroom-budget-uk,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Bedroom,Small Bedroom Layout Ideas for Awkward UK Rooms,https://britishhomeinterior.co.uk/blog/small-bedroom-layout-ideas-uk,2026-08-10,,8,0,49.8,D - Steady / building authority,MONITOR,8,0,
Bedroom,Small Bedroom Storage Ideas UK,https://britishhomeinterior.co.uk/blog/small-bedroom-storage-uk,2026-07-25,,99,0,69.3,D - Steady / building authority,"MONITOR/IMPROVE: 99 impr/90d, ""bedroom storage solutions"" (23@69), ""bedroom storage"" (20@75), ""bedroom storage ideas"" (17@74) -- all deep positions (69-75), a smaller-scale version of the same authority-ceiling pattern.",99,0,see Action
Room Makeovers,Small Kitchen Island Ideas for UK Flats: Budget-Friendly,https://britishhomeinterior.co.uk/blog/small-kitchen-island-ideas-uk,2026-08-02,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Kitchen,Small Kitchen Storage Ideas on a Budget UK,https://britishhomeinterior.co.uk/blog/small-kitchen-storage-ideas-budget-uk,2026-07-27,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Living Room,Small Living Room on a Budget UK: Under £150 Refresh,https://britishhomeinterior.co.uk/blog/small-living-room-budget-uk,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Living Room,11 Small Living Room Ideas UK,https://britishhomeinterior.co.uk/blog/small-living-room-ideas-uk,2026-06-29,,4,0,47.0,D - Steady / building authority,MONITOR,4,0,
Living Room,Small Living Room Layout Ideas UK,https://britishhomeinterior.co.uk/blog/small-living-room-layout-ideas,2026-06-29,,168,0,50.2,D - Steady / building authority,"MONITOR/IMPROVE: 168 impr/90d, ""small front room layouts"" (31@38), ""small living room layouts"" (18@49) -- ""front room"" is real UK-regional phrasing for living room, worth confirming it appears in the post's own language, not just ""living room"".",168,0,see Action
Living Room,Small Living Room Storage Ideas UK (No Fitted Furniture),https://britishhomeinterior.co.uk/blog/small-living-room-storage-ideas-uk,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Living Room,Soft Minimalism Living Room Ideas for UK Homes,https://britishhomeinterior.co.uk/blog/soft-minimalism-living-room-ideas-uk,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Living Room,Spring Home Refresh Ideas UK,https://britishhomeinterior.co.uk/blog/spring-home-refresh-ideas-uk,2026-06-29,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,Unfitted Kitchen Ideas UK,https://britishhomeinterior.co.uk/blog/unfitted-kitchen-ideas-uk,2026-08-07,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,12 Vertical Storage Ideas for Small UK Flats (No Drilling),https://britishhomeinterior.co.uk/blog/vertical-storage-ideas-uk-flats,2026-08-01,,48,0,22.9,"C - Good position, low volume (leave alone)","MONITOR (good position): 48 impr/90d, ""vertical storage"" (35@22.5) -- best real position of any page on the UK blog outside the homepage/about. Leave as-is, don't risk disturbing it.",48,0,see Action
Room Makeovers,Victorian Terrace Interior Ideas,https://britishhomeinterior.co.uk/blog/victorian-terrace-interior-ideas-uk,2026-06-29,,5,0,29.4,D - Steady / building authority,MONITOR,5,0,
Living Room,Winter Cosy Home Ideas UK,https://britishhomeinterior.co.uk/blog/winter-cosy-home-ideas-uk,2026-06-29,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
