order,slug,image_url,caption,posted
11,"budget-kitchen-flooring-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/11-budget-kitchen-flooring-ideas-uk.jpg","No fitter, no new units, big difference.

Cheap UK kitchen flooring ideas you can fit in a weekend. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #budgetkitchen #kitchenmakeover #ukkitchen",
12,"budget-kitchen-splashback-tile-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/12-budget-kitchen-splashback-tile-ideas-uk.jpg","No fitter, no new units, big difference.

Cheap kitchen splashback ideas UK: peel-and-stick tiles, tile paint, and acrylic sheets compared, with real prices and a fitting guide that avoids peeling. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #budgetkitchen #kitchenmakeover #ukkitchen",
13,"budget-kitchen-worktop-makeover-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/13-budget-kitchen-worktop-makeover-uk.jpg","Kitchen refresh for a fraction of a new one 👇

Cheap kitchen worktop ideas UK: adhesive wrap film, laminate paint kits, and edge strip repairs. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #budgetkitchen #kitchenmakeover #ukkitchen",
14,"christmas-home-decor-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/14-christmas-home-decor-ideas-uk.jpg","Turn off the big light. Start here.

How to decorate a British home for Christmas with real character. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
15,"cosy-bedroom-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/15-cosy-bedroom-ideas-uk.jpg","Warmed up a rented bedroom — walls untouched 👇

14 ways to make your bedroom feel like a proper retreat. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #bedroomideas #cosybedroom #smallbedroom #cosyroom",
16,"cosy-home-decor-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/16-cosy-home-decor-ideas-uk.jpg","Turn off the big light. Start here.

How to make any UK home feel genuinely cosy. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom #hyggeuk",
17,"cottagecore-bedroom-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/17-cottagecore-bedroom-ideas-uk.jpg","The layers that changed this room.

How to create a real cottagecore bedroom in a UK home. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #bedroomideas #cosybedroom #smallbedroom #botanicalbedroom",
18,"cottagecore-home-decor-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/18-cottagecore-home-decor-uk.jpg","Turn off the big light. Start here.

Full cottagecore guide for UK homes. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom #britishcottagecore",
19,"dark-moody-home-decor-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/19-dark-moody-home-decor-uk.jpg","What actually moved the needle in here.

How to use dark, moody colours in a British home. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
20,"earthy-neutral-kitchen-colour-trends-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/20-earthy-neutral-kitchen-colour-trends-uk.jpg","What actually moved the needle in here.

Explore earthy neutral kitchen colour trends for 2026 with budget-friendly two-tone ideas, UK retailers and renter-friendly tips. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #budget #twotonekitchen #renterfriendlydecor",
21,"funhaus-decor-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/21-funhaus-decor-ideas-uk.jpg","One room, one weekend, under budget.

FunHaus is the 2026 trend for renters: bold personality in rugs, cushions and lamps, nothing fixed. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
22,"grandma-core-kitchen-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/22-grandma-core-kitchen-ideas-uk.jpg","The £-total that reads as a full makeover.

How to create a 'grandma core' kitchen in a UK home. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #budgetkitchen #kitchenmakeover #ukkitchen",
23,"hallway-decor-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/23-hallway-decor-ideas-uk.jpg","What actually moved the needle in here.

Transform a narrow British hallway with smart paint, slim furniture, mirrors, and renter-friendly ideas. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #britishhallway",
24,"hidden-pantry-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/24-hidden-pantry-ideas-uk.jpg","One room, one weekend, under budget.

Smart hidden pantry solutions for small UK kitchens under £100. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #budget #renterfriendly",
25,"home-decor-inspiration-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/25-home-decor-inspiration-uk.jpg","One room, one weekend, under budget.

Where to find genuine UK home decor inspiration. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
26,"home-interior-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/26-home-interior-ideas-uk.jpg","Before and after, all reversible 👇

Room-by-room British home interior ideas for UK homeowners and renters. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
27,"how-to-style-a-living-room-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/27-how-to-style-a-living-room-uk.jpg","Turn off the big light. Start here.

How to style a living room in the UK from scratch. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
28,"kitchen-decor-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/28-kitchen-decor-ideas-uk.jpg","The £-total that reads as a full makeover.

12 kitchen decor ideas for UK homes. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #budgetkitchen #kitchenmakeover #ukkitchen",
29,"kitchen-on-a-budget-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/29-kitchen-on-a-budget-uk.jpg","The £-total that reads as a full makeover.

14 cheap kitchen upgrades for UK homes under £500. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #budgetkitchen #kitchenmakeover #ukkitchen #cheapkitchen #affordablekitchen #budgetkitchens",
30,"living-room-colour-schemes-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/30-living-room-colour-schemes-uk.jpg","Proportion beats square footage.

11 living room colour schemes that work in real British homes. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
31,"living-room-lighting-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/31-living-room-lighting-ideas-uk.jpg","Turn off the big light. Start here.

Renter-friendly living room lighting upgrades for UK flats. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
32,"maximalist-living-room-decor-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/32-maximalist-living-room-decor-uk.jpg","Turn off the big light. Start here.

Practical maximalist living room guide for British homes. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
33,"modern-home-interior-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/33-modern-home-interior-uk.jpg","One room, one weekend, under budget.

What modern really means in British homes in 2026. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
34,"multifunctional-furniture-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/34-multifunctional-furniture-ideas-uk.jpg","What actually moved the needle in here.

Discover affordable, deposit-safe multifunctional furniture for UK renters. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #renterfriendlydecor #budget",
35,"opera-inspired-living-room-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/35-opera-inspired-living-room-ideas-uk.jpg","What actually moved the needle in here.

Create an opera-inspired living room with velvet textures and moody lighting on a UK budget. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #budgetdecor",
36,"plant-styling-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/36-plant-styling-ideas-uk.jpg","What actually moved the needle in here.

Low-light apartment plant ideas for UK renters – budget-friendly, no-damage styling ideas using real UK retailers like Dunelm and IKEA. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #budget #renterfriendlydecor",
37,"rental-kitchen-upgrade-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/37-rental-kitchen-upgrade-ideas-uk.jpg","Kitchen refresh for a fraction of a new one 👇

Rental kitchen upgrade ideas UK that need no landlord permission. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #budgetkitchen #kitchenmakeover #ukkitchen",
38,"rented-flat-makeover-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/38-rented-flat-makeover-uk.jpg","What actually moved the needle in here.

How to transform a rented flat without losing your deposit. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
39,"renter-friendly-bedroom-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/39-renter-friendly-bedroom-ideas-uk.jpg","Warmed up a rented bedroom — walls untouched 👇

Renter-friendly bedroom ideas for UK flats. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #bedroomideas #cosybedroom #smallbedroom",
40,"renter-friendly-gallery-wall-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/40-renter-friendly-gallery-wall-ideas-uk.jpg","What actually moved the needle in here.

Create a stylish gallery wall in your UK rental without nails or damage. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #renterfriendly #budget #nonails",
41,"renter-friendly-living-room-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/41-renter-friendly-living-room-ideas-uk.jpg","Turn off the big light. Start here.

12 deposit-safe living room upgrades for UK renters. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
42,"scandi-bedroom-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/42-scandi-bedroom-ideas-uk.jpg","Warmed up a rented bedroom — walls untouched 👇

Scandi bedroom ideas for small UK flats. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #bedroomideas #cosybedroom #smallbedroom",
43,"scandi-living-room-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/43-scandi-living-room-ideas-uk.jpg","Turn off the big light. Start here.

Scandi living room ideas for small UK flats. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
44,"small-bedroom-budget-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/44-small-bedroom-budget-uk.jpg","Cosy, deposit-safe, done in a weekend.

A £150 small bedroom refresh for UK flats. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #bedroomideas #cosybedroom #smallbedroom",
45,"small-bedroom-layout-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/45-small-bedroom-layout-ideas-uk.jpg","The layers that changed this room.

Small bedroom layout ideas for the odd shapes UK flats throw at you: sloped ceilings, box rooms, L-shapes, one small window, chimney breasts. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #bedroomideas #cosybedroom #smallbedroom",
46,"small-bedroom-storage-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/46-small-bedroom-storage-uk.jpg","Warmed up a rented bedroom — walls untouched 👇

13 bedroom storage ideas for small UK flats. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #bedroomideas #cosybedroom #smallbedroom",
47,"small-kitchen-island-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/47-small-kitchen-island-ideas-uk.jpg","One room, one weekend, under budget.

Small kitchen island ideas for UK flats that fit tight budgets and rented spaces. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #budget #renterfriendly",
48,"small-kitchen-storage-ideas-budget-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/48-small-kitchen-storage-ideas-budget-uk.jpg","The £-total that reads as a full makeover.

Small kitchen storage ideas for UK homes on a budget. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #budgetkitchen #kitchenmakeover #ukkitchen",
49,"small-living-room-budget-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/49-small-living-room-budget-uk.jpg","Small living room — worked with what we had 👇

How to refresh a small UK living room for under £150. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
50,"small-living-room-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/50-small-living-room-ideas-uk.jpg","Small living room — worked with what we had 👇

11 practical small living room ideas for UK flats. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
51,"small-living-room-layout-ideas","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/51-small-living-room-layout-ideas.jpg","Turn off the big light. Start here.

How to arrange furniture in a tiny British lounge. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
52,"small-living-room-storage-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/52-small-living-room-storage-ideas-uk.jpg","Proportion beats square footage.

12 small living room storage ideas for UK flats. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
53,"soft-minimalism-living-room-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/53-soft-minimalism-living-room-ideas-uk.jpg","Proportion beats square footage.

Soft minimalism living room ideas for small UK flats. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
54,"spring-home-refresh-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/54-spring-home-refresh-ideas-uk.jpg","Small living room — worked with what we had 👇

How to refresh your UK home for spring. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
55,"unfitted-kitchen-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/55-unfitted-kitchen-ideas-uk.jpg","What actually moved the needle in here.

Discover stylish, renter-friendly unfitted kitchen ideas for UK homes in 2026. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #budgetkitchen #renterfriendlydecor #freestandingkitchen",
56,"vertical-storage-ideas-uk-flats","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/56-vertical-storage-ideas-uk-flats.jpg","Before and after, all reversible 👇

Out of floor space, not wall space. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #budget #renterfriendlydecor",
57,"victorian-terrace-interior-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/57-victorian-terrace-interior-ideas-uk.jpg","What actually moved the needle in here.

Interior guide for Victorian terraced houses. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
58,"winter-cosy-home-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/58-winter-cosy-home-ideas-uk.jpg","Proportion beats square footage.

How to make your UK home feel warm and cosy through winter. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
